"","Feature","Gain","Cover","Frequency"
"1","num_arch_ok_0_12m",0.308216496342151,0.0488696982270525,0.043015332197615
"2","account_worst_status_0_3m",0.169912818532594,0.022241434503841,0.0187393526405451
"3","avg_payment_span_0_12m",0.107367485418036,0.0681898228853377,0.0787904599659285
"4","num_arch_ok_12_24m",0.0608255235865868,0.0537829231479871,0.0472742759795571
"5","age",0.0562477087037268,0.101685656483025,0.0928449744463373
"6","num_unpaid_bills",0.0264871586994582,0.0535097376477357,0.0485519591141397
"7","max_paid_inv_0_24m",0.0239270405813228,0.0451287025070449,0.0566439522998296
"8","time_hours",0.0231378400640246,0.0725303621956393,0.0745315161839864
"9","account_status",0.0231273748480444,0.0144824022273804,0.0140545144804089
"10","account_incoming_debt_vs_paid_0_24m",0.0188333667119821,0.0488941757306742,0.0464224872231687
"11","max_paid_inv_0_12m",0.0187039468817001,0.0421440512990516,0.0549403747870528
"12","sum_paid_inv_0_12m",0.0174336989358973,0.0418873738826382,0.0515332197614991
"13","num_active_div_by_paid_inv_0_12m",0.0155308130252615,0.0301834011889753,0.0251277683134583
"14","avg_payment_span_0_3m",0.0149236333333224,0.0462632839619153,0.0468483816013629
"15","status_max_archived_0_24_months",0.0137277644003279,0.0276386981776835,0.0178875638841567
"16","sum_capital_paid_account_0_12m",0.0129517793259092,0.0234712091255445,0.0391822827938671
"17","sum_capital_paid_account_12_24m",0.00836185656574128,0.0125757444188446,0.0242759795570698
"18","account_worst_status_3_6m",0.00788672238640667,0.0346559275457613,0.022572402044293
"19","account_amount_added_12_24m",0.00740092920362945,0.00599013158133057,0.0208688245315162
"20","account_worst_status_6_12m",0.00689007266751239,0.0280564975973234,0.0170357751277683
"21","num_active_inv",0.00678175824818445,0.0223605359300256,0.0161839863713799
"22","account_worst_status_12_24m",0.00634462175488615,0.0146732284316192,0.0178875638841567
"23","num_arch_dc_12_24m",0.00513217094807372,0.0196079552611263,0.00979557069846678
"24","account_days_in_rem_12_24m",0.00490997132787893,0.0160427525216745,0.0174616695059625
"25","status_last_archived_0_24m",0.00472687898975175,0.0160446413776622,0.00979557069846678
"26","num_arch_dc_0_12m",0.00434313471018559,0.00523826339925975,0.00681431005110733
"27","status_2nd_last_archived_0_24m",0.00397191323738645,0.00793153916509253,0.0114991482112436
"28","num_arch_rem_0_12m",0.00388458518966949,0.0115862167539353,0.0132027257240204
"29","status_max_archived_0_12_months",0.00368220789181695,0.00524206698597475,0.00851788756388416
"30","status_3rd_last_archived_0_24m",0.0035356283357259,0.00634645261978116,0.00894378194207836
"31","worst_status_active_inv",0.00286955583700625,0.0112489912732783,0.00936967632027257
"32","status_max_archived_0_6_months",0.00282468386611754,0.00624551526076614,0.00894378194207836
"33","account_days_in_dc_12_24m",0.00192148534571525,0.00904267810592353,0.00724020442930153
"34","account_days_in_term_12_24m",0.00134918400642819,0.00871730325598408,0.00468483816013629
"35","recovery_debt",0.00131716875415679,0.0151906973480358,0.00638841567291312
"36","num_arch_written_off_0_12m",0.000265395091999281,0.000105517187916745,0.000851788756388416
"37","num_arch_written_off_12_24m",0.000245626251382621,0.00219441078715822,0.00127768313458262
